Название;Том;Глава;Ссылка
Архимаг, который вернулся спустя 4 тысячи лет;1;73;https://readmanga.live/arhimag__kotoryi_vernulsia_spustia_4_tysiachi_let
Башня Бога;3;68;https://readmanga.live/bashnia_boga
Бездарная Нана;6;42;https://readmanga.live/ungifted_nana
Бездомный Бог;2;84;https://readmanga.live/noragami__A1b916d
Безупречный отец;2;157;https://readmanga.live/bezuprechnyi_otec
Бессмертный;1;29;https://mintmanga.live/bessmertnyi
Бестия;2;6;https://readmanga.live/bestia
Благоустройство дочери герцога;6;52;https://readmanga.live/accomplishments_of_the_duke_s_daughter
Боруто;1;55;https://readmanga.live/boruto__A112d3e7
Бурный век;3;157;https://readmanga.live/volcanic_age
Власть книжного червя;7;125;https://readmanga.live/ascendance_of_a_bookworm
Во всеоружии (перезапуск);1;59;https://readmanga.live/vo_vseorujii__perezapusk_
Вторжение гигантов;2;90;https://mintmanga.live/vtorjenie_gigantov
Второе пришествие обжорства;2;1;https://readmanga.live/vtoroe_prishestvie_objorstva
Герой? Я давно перестал им быть;1;3;https://readmanga.live/hero__i_quit_a_long_time_ago
Город мёртвого чародея;1;167;https://readmanga.live/city_of_dead_sorcerer
Да, я Сакамото, а что?;3;13;https://readmanga.live/haven_t_you_heard__i_m_sakamoto
Дворянство;4;233;https://readmanga.live/dvorianstvo
Девушка на час;1;105;https://readmanga.live/kanojo__okarishimasu
Депресняк Тёмного Лорда;1;1;https://readmanga.live/the_devil_king_is_bored
Добро пожаловать в класс превосходства;5;19;https://readmanga.live/classroom_of_the_elite
Ёнби непобедимый;1;3;https://readmanga.live/yongbi_the_invincible
Игрок;4;209;https://readmanga.live/the_gamer
Истории монстров;3;19;https://readmanga.live/monster_tale
Кагуя хочет, чтобы ей признались: Гении — война любви и разума;2;209;https://readmanga.live/kaguia_hochet__chtoby_ei_priznalis__genii___voina_liubvi_i_razuma
Кадамхансоль;1;97;https://readmanga.live/kadamhansol
Клинок ветра;1;1;https://readmanga.live/klinok_vetra
Коллекция персиков;3;1;https://readmanga.live/the_treasured_sakura_tome
Король меча;2;74;https://readmanga.live/korol_mecha
Кости;4;281;https://readmanga.live/kosti
Красная буря;1;358;https://readmanga.live/krasnaia_buria
Легендарный лунный скульптор;3;121;https://readmanga.live/legendarnyi_lunnyi_skulptor
Летнее время;1;1;https://readmanga.live/summer_time_render
Маг чёрного железа;1;9;https://readmanga.live/mag_chernogo_jeleza
Маг-целитель: новый старт ~ Высшее исцеление: чары моментальной смерти и кража умений;8;64;https://mintmanga.live/mag_celitel__novyi_start___vysshee_iscelenie__chary_momentalnoi_smerti_i_kraja_umenii
Магия вернувшегося должна быть особенной;3;138;https://readmanga.live/magiia_vernuvshegosia_doljna_byt_osobennoi
Маленькая сэмпай с моей работы;1;37;https://readmanga.live/malenkaia_sempai_s_moei_raboty
Мастер;2;219;https://readmanga.live/the_master
Моя геройская академия;3;300;https://readmanga.live/my_hero_academia__A1be6f8
Население приграничного владения начинается с нуля. «Диас Синий» и голуборогая девушка;3;12;https://readmanga.live/naselenie_prigranichnogo_vladeniia_nachinaetsia_s_nulia___dias_sinii__i_goluborogaia_devushka
